Review,Rating,Location,Date of Experience,Sentiment,cleaned_review,Day,Month,Year
"Easy to pick up and drop off, no long lines and nice clean cars!!!",5,SA,2024-01-04,Positive,easy pick drop long line nice clean car,4,January,2024
"Overall all was great,Apple pay availability is a plus",4,US,2024-01-05,Positive,overall greatapple pay availability plus,5,January,2024
"After a long flight the last thing you want is a hassle at the rental car counter. I didn’t get that with Fox. The service was quick, the car was ready and the staff were super friendly and helpful. Great experience in a time when you hear so many rental horror stories!",5,US,2024-01-02,Positive,long flight last thing want hassle rental car counter do not get fox service quick car ready staff super friendly helpful great experience time hear many rental horror story,2,January,2024
Always a good company.  Never let me down.,5,US,2024-01-03,Positive,always good company never let,3,January,2024
The staff provided excellent service and they were fair and honest. The shuttle is right there to puck you up at the airport and return you. Would rent again,5,US,2024-01-10,Positive,staff provide excellent service fair honest shuttle right puck airport return would rent,10,January,2024
The person at the ticket counter was very respectful and courteous as we were there to bury our dad. She gave us a very nice comfortable car for our two-hour drive. and the check in person was very kind and courteous as well.,5,US,2024-01-09,Positive,person ticket counter respectful courteous bury dad give we nice comfortable car twohour drive check person kind courteous well,9,January,2024
Rented a van but was provided a 7 passenger suv,4,US,2024-01-06,Positive,rent van provide passenger suv,6,January,2024
East stress free pick up and drop off. Very friendly staff- shout out Christopher!,5,US,2024-01-06,Positive,east stress free pick drop friendly staff shout christopher,6,January,2024
The customer service was great and quick with a smile!,5,US,2023-12-31,Positive,customer service great quick smile,31,December,2023
"Reservation, didn’t have to wait too long and good service.",5,US,2024-01-02,Positive,reservation do not wait long good service,2,January,2024
Easy as 123 Great customer service!,5,US,2024-01-04,Positive,easy great customer service,4,January,2024
"Great company to rent with! Economic and easy. The Lax shuttle takes you right to the fox rental center, it is a little run down, but it is California, so that’s standard.  Other than that, the staff is great ! They upgraded our vehicle with ease and I didn’t feel like I was being pressured to buy a bunch of upgrades. Great clean car. Drop off was easy and the shuttle back to the terminal was quick !",5,US,2024-01-01,Positive,great company rent economic easy lax shuttle take right fox rental center little run california that s standard staff great upgrade vehicle ease do not feel like pressured buy bunch upgrade great clean car drop easy shuttle back terminal quick,1,January,2024
The customer service agent at the front desk was exceptionally friendly and accommodating.  She represented the company very well and we appreciated her help.,5,US,2024-01-08,Positive,customer service agent front desk exceptionally friendly accommodate represent company well appreciated help,8,January,2024
We had an excellent experience with Fox Rental.  The moment we picked it up to when we dropped the vehicle off.  Everyone we worked with was friendly.,5,US,2024-01-02,Positive,excellent experience fox rental moment pick drop vehicle everyone work friendly,2,January,2024
Rented and prepaid a car thru Expedia along with collision ins for a trip to San Diego. Charged almost $200 for hidden fees including insurance after coming back from the trip. I wish I had seen the reviews for Fox Rent A Car. STAY AWAY!!,1,CA,2024-01-10,Negative,rent prepaid car thru expedia along collision in trip san diego charge almost hide fee include insurance come back trip wish see review fox rent car stay away,10,January,2024
Extra fees!! Small print. Will never rent from them again.  Mickey Mouse operation.,1,US,2023-12-31,Negative,extra fee small print never rent mickey mouse operation,31,December,2023
The staff at Fox were courteous and the process was easy and quick. I would definitely rent from them again!,5,US,2023-12-31,Positive,staff fox courteous process easy quick would definitely rent,31,December,2023
Aric and Miguel were exelent.,5,Other,2024-01-04,Positive,aric miguel exelent,4,January,2024
"1/ Simple online booking2/ Provided spotlessly clean rental vehicle3/ Price point well below competitors (value for $$)4/ Friendly, knowledge and efficient staff",5,US,2024-01-02,Positive,simple online booking provide spotlessly clean rental vehicle price point well competitor value friendly knowledge efficient staff,2,January,2024
I am a long-time renter due to work. Emmanuel makes the entire process painless! He is 10/10!,5,US,2024-01-07,Positive,longtime renter due work emmanuel make entire process painless,7,January,2024
Representatives at the counter and on the lot are very helpful. They went out their way to help me find a car that didn't smell like weed and was very apalogetic.,5,US,2023-12-24,Positive,representative counter lot helpful go way help find car do not smell like weed apalogetic,24,December,2023
This company is very easy to do business with. No bait and switch like the bigger companies. I highly recommend them for car rentals when travelling.,5,US,2024-01-08,Positive,company easy business bait switch like big company highly recommend car rental travel,8,January,2024
The staff was very friendly and even helpful with our travel questions! Transactions were smooth and quick and without pressure.,5,CA,2024-01-04,Positive,staff friendly even helpful travel question transaction smooth quick without pressure,4,January,2024
"A good company to rent from, great customer service and professional staff. No hidden charges either!",5,US,2024-01-04,Positive,good company rent great customer service professional staff hide charge either,4,January,2024
Front Desk was very helpful and personable. Cars we clean as much as expected. Some damage but nothing major and allowed you to record it on check out paper. Will use again. As good as any others in DEN.,4,US,2024-01-04,Positive,front desk helpful personable car clean much expect damage nothing major allow record check paper use good other den,4,January,2024
no issues. very clean car and simple check-in/ return experience.,5,US,2024-01-03,Positive,issue clean car simple checkin return experience,3,January,2024
Great experience with fox rental and I would love to rent it from Fox next time.,5,US,2024-01-07,Positive,great experience fox rental would love rent fox next time,7,January,2024
Very friendly front desk staff. The pickup agent was very helpful explaining how to return to the terminal.,4,PR,2023-12-20,Positive,friendly front desk staff pickup agent helpful explain return terminal,20,December,2023
Thank you for your attention at pickup and drop off. Everything was very smooth and we were on a rush. Great work.,5,US,2024-01-07,Positive,thank attention pickup drop everything smooth rush great work,7,January,2024
"Fast, courteous and efficient when visiting Phoenix! I will definitely be using Fox rental’s again",5,US,2024-01-03,Positive,fast courteous efficient visit phoenix definitely use fox rental,3,January,2024
All the staff was wonderful and patient. I will likely call in them again on my next trip. The vehicle was comfortable and met my needs. I especially liked that each person I spoke to listened to my needs and met my needs and expectations. Wonderful service.,5,US,2023-12-29,Positive,staff wonderful patient likely call next trip vehicle comfortable meet need especially like person speak listen need meet need expectation wonderful service,29,December,2023
"very fast checkin, easy catch from the airport, very nice car that i picked upfront",5,US,2024-01-04,Positive,fast checkin easy catch airport nice car pick upfront,4,January,2024
"Everything went smoothly. Great car, price and service.",5,US,2024-01-06,Positive,everything go smoothly great car price service,6,January,2024
First of all the prices right and the staff is fantastic and the cars are always clean and in good shape,5,US,2024-01-03,Positive,first price right staff fantastic car always clean good shape,3,January,2024
Excellent service! Pick up usually takes a long time with other rentals but we were amazed with Fox! Took us about 15 min to get the car. We love it!,5,US,2023-12-27,Positive,excellent service pick usually take long time rental amazed fox take we min get car love,27,December,2023
"Great check in-check out, proffesional, courteous and friendly making the process easy and smooth.",5,Other,2023-12-25,Positive,great check incheck proffesional courteous friendly making process easy smooth,25,December,2023
It was an incredibly smooth experience from the day we picked up our rental to the day we dropped it off. The vehicle was also super nice and roomy!,5,US,2023-12-26,Positive,incredibly smooth experience day pick rental day drop vehicle also super nice roomy,26,December,2023
Brenda was great at booking our trip for us!,5,NZ,2023-12-29,Positive,brenda great booking trip we,29,December,2023
"After being forced to buy insurance by the person at the counter (even after I had said I was using my credit card and she acknowledged that), I got home and went onto their website to chat. The rep confirmed that no insurance was required. I literally said, ""So she basically lied to get extra money out of me."" He replied ""Yes."" He told me to GO BACK to the airport to get them to take it off. That he couldn't do it. I found that hard to believe and really didn't feel that it was my responsibility to go back there, pay to park, get into a confrontation with the manager (read other reviews) to fight for something that they never should have forced upon me.I read the Google reviews of this place and had, within a few hours, written to the email address provided in all of the responses (they say give them 48 hrs to respond). I included the chat, a few screenshots of others saying how they had been forced to buy insurance and I gave them 6 days to respond before writing this. They have not written back.The woman at the counter was not very polite to begin with, talked fast, made me agree to purchase insurance before continuing on with the rental (saying it was MANDATORY). When I showed her my receipt asking to show me where it said that, she said: ""The total at the bottom is an estimate...because you didn't choose insurance."" I had paid up front for the rental.By the way, this is the first place I've come across that does not put a HOLD on your card for the deposit...they CHARGE you for it. And even though I have returned the car 2 days ago, of course I haven't gotten the refund yet. I'm sure they do this so when they screw you on the ""mandatory"" insurance, it's one way they get their money. Then they only refund you the ""difference"" which in my case is NOT the $150 but the amount of the ""mandatory"" insurance as well.So if the company is going to respond to me saying email them, check your email because it's been sitting there since Wednesday. And stop forcing people to buy your insurance which credit cards or personal insurance already cover. It's just bad business and you've lost another customer.",1,GB,2024-01-04,Negative,force buy insurance person counter even say use credit card acknowledge get home go onto website chat rep confirm insurance require literally say basically lie get extra money reply yes tell go back airport get take could not find hard believe really do not feel responsibility go back pay park get confrontation manager read review fight something never force upon mei read google review place within hour write email address provide response say give hrs respond include chat screenshot other say force buy insurance give day respond writing write backthe woman counter polite begin talk fast make agree purchase insurance continue rental say mandatory show receipt asking show say say total bottom estimatebecause do not choose insurance pay front rentalby way first place I ve come across put hold card depositthey charge even though return car day ago course have not get refund yet I m sure screw mandatory insurance one way get money refund difference case amount mandatory insurance wellso company go respond say email check email sit since wednesday stop force people buy insurance credit card personal insurance already cover bad business you ve lose another customer,4,January,2024
Umar was very helpful.The number of cars available was very limited.The company should hold more cars and offer the appropriate cars which have been booked.,3,US,2023-12-25,Neutral,umar helpfulthe number car available limitedthe company hold car offer appropriate car book,25,December,2023
"DO NOT RENT FROM FOX!!!  This is twice, i say twice that fox has done me dirty.  First i waited in line for three hours to get to counter in Orlando.  When i got there i was told they had NO CARS.  Let me wait for HOURS. Had to go to Hertz.I was foolish enough to try again in ft. myers.  Made my reservation, paid it in full, paid for ""cancel for any reason"" and made my reservation.  I had to cancel for health reasons and did so. Waited on refund that never came.  Tried calling and emailing with no reply.  Tried a chat and was told there to call another number.  Got thru and was then told it cost me $150.00 to cancel!  DO NOT rent from them EVER!  I think i learned my lesson.  They would have kept all my  money if I didnt keep trying!!!!!",1,US,2024-01-09,Negative,rent fox twice say twice fox do dirty first wait line three hour get counter orlando get tell car let wait hour go hertzi foolish enough try ft myers make reservation pay full pay cancel reason make reservation cancel health reason wait refund never came try call email reply try chat tell call another number get thru tell cost cancel rent ever think learn lesson would kept money do not keep try,9,January,2024
Fast check in and out. Clean car.,5,US,2024-01-02,Positive,fast check clean car,2,January,2024
"No recomiendo fox car rental!! pareciera barato, pero sale al doble que budget,, FOX CAR RENTAL IS REAL S*H*T COMPANY",1,US,2024-01-05,Negative,recomiendo fox car rental pareciera barato pero sale al doble que budget fox car rental real sht company,5,January,2024
"Everything from pickup to drop-off went smoothly. Wait at pickup was longer than I noticed at other rental companies, but not excessive. Price was good.",5,US,2023-12-30,Positive,everything pickup dropoff go smoothly wait pickup long notice rental company excessive price good,30,December,2023
"Easy to book, staff was professional & very helpful",5,US,2024-01-05,Positive,easy book staff professional helpful,5,January,2024
"The staff was so wonderful, pleasant and accommodating- I was truly blown away. 10/10",5,US,2024-01-05,Positive,staff wonderful pleasant accommodate truly blow away,5,January,2024
"Was really happy with our guy, but he did not tell us our jeep was an older model with no nav or Bluetooth",4,CA,2024-01-06,Positive,really happy guy tell we jeep old model nav bluetooth,6,January,2024
"Counter-staff upon check-in was friendly and approachable, but somewhat pushy when selling insurance (we said no), misleading about surrounding gas prices in selling the tank replacement option, and we were unprepared with realistic choices when presented with the express and toll pass for $13 daily. (Afterwards we found much less expensive downloadable passes.) Clean vehicle. We could have any size vehicle as long as it was large! Easy check-in. Generally a satisfactory experience. Thank you.",4,US,2023-12-29,Positive,counterstaff upon checkin friendly approachable somewhat pushy selling insurance say mislead surround gas price sell tank replacement option unprepared realistic choice present express toll pass daily afterwards find much less expensive downloadable pass clean vehicle could size vehicle long large easy checkin generally satisfactory experience thank,29,December,2023
I was worried about renting from fox. I had read so many bad reviews. My rental experience was excellent.,5,US,2023-12-29,Positive,worry renting fox read many bad review rental experience excellent,29,December,2023
My vehicle pickup and return at Ohare Airport was conveniently located. It was easy and quick.,5,US,2024-01-06,Positive,vehicle pickup return ohare airport conveniently locate easy quick,6,January,2024
It was nice to finally find a rental car company that charges what it quoted.,5,DO,2024-01-06,Positive,nice finally find rental car company charge quote,6,January,2024
"The price difference was so much better, I had to give it a shot. And boy was I right in my decision. These guys were fantastic from the shuttle drivers, to the guy at the counter, to the quality of the car, cleanliness, Etc. If they are at the next airport I fly into, I will use them again for sure.",5,US,2024-01-05,Positive,price difference much well give shot boy right decision guy fantastic shuttle driver guy counter quality car cleanliness etc next airport fly use sure,5,January,2024
Excellent service and nice new clean carsThey consider you as their family member and service with a smile,5,US,2023-12-31,Positive,excellent service nice new clean carsthey consider family member service smile,31,December,2023
Excellent overall,5,Other,2023-12-24,Positive,excellent overall,24,December,2023
Efficient and friendly staff. Clean car.,5,US,2023-12-29,Positive,efficient friendly staff clean car,29,December,2023
Easy from start to finish,5,US,2023-12-28,Positive,easy start finish,28,December,2023
"Looking at the location I initially hesitated to book a car here, but I was wrong. Plus: 1. Fox shuttle service to and from Airport Car Rental service area is for every 5 to 10 mins. We reached the LV Airport Car Rental Service center at 1:00 am. I did not call the Fox rental, but their shuttle came exactly at 1:05 am to pick any passenger to Fox Rental location. Not sure, if they know the flight timing. While returning the car around 3:30 AM, their shuttle service took us back to the Airport Car Rental service center. Again it was only a 5 mins wait. They have multiple shuttle service van, which runs continuously. Point is, do not worry about the shuttle service from FOX rental to Airport rental center2. I was given a brand new car with no license plate. Went there the next day to exchange it with another car having license plate, as I had to travel to SFO. With no hassle they swapped it3. I did a prepaid thru Expedia. $30 was charged to my card after my rental. Called the customer care with a 1 min wait time. The billing was corrected as it was a prepaid. No penny was charged apart from my prepaid.4. Though the location of this rental is in bit outskirts, the compound is safer. Once you are in the location, its safe. The staff just waits for you to drop the car and the checkout process is on the spot though it was 3:30 AMFox rental will be my goto place next time.  Minus:1. During the daytime the place is very crowded. May be Christmas time and flight arrival time. It was a long line with less staffs. May be once in a while and depends on the timing.2. Its bit outskirts and the roads to this rental location is dark. I would recommend dropping the family and luggage at the airport and then drop the car if its midnight. Nothing to worry, but for a safer side, incase.",5,US,2023-12-30,Positive,look location initially hesitate book car wrong plus fox shuttle service airport car rental service area every min reach lv airport car rental service center call fox rental shuttle come exactly pick passenger fox rental location sure know flight timing return car around shuttle service take we back airport car rental service center min wait multiple shuttle service van run continuously point worry shuttle service fox rental airport rental center give brand new car license plate go next day exchange another car license plate travel sfo hassle swap prepay thru expedia charge card rental call customer care min wait time billing correct prepay penny charge apart prepay though location rental bit outskirt compound safe location safe staff wait drop car checkout process spot though amfox rental goto place next time minus daytime place crowd may christmas time flight arrival time long line less staff may depend time bit outskirt road rental location dark would recommend drop family luggage airport drop car midnight nothing worry safe side incase,30,December,2023
Great prices and services at Fort Lauderdale Airport!,5,US,2023-12-23,Positive,great price service fort lauderdale airport,23,December,2023
Fastest pick up I'ver ever had with any rental company. Return was speedy. The shuttle driver was super friendly. Great overall experience.,5,US,2024-01-06,Positive,fast pick iver ever rental company return speedy shuttle driver super friendly great overall experience,6,January,2024
I had never heard of FOX before.  I chose them for the lowest price.  Service was great.  I ended up with a higher level of vehicle at no additional charge.,5,IL,2024-01-01,Positive,never hear fox choose low price service great end high level vehicle additional charge,1,January,2024
"Happy with the provided car ,its condition and the overall service experience was seamless ,good value for money.",5,US,2023-12-31,Positive,happy provide car condition overall service experience seamless good value money,31,December,2023
"The Fox rental was great! From the counter to the return, it was easy and intuitive. I had a counter agent named Israel, and he was very professional and kept the process moving. Fox is my go-to in the TPA area.",5,US,2024-01-05,Positive,fox rental great counter return easy intuitive counter agent name israel professional kept process move fox goto tpa area,5,January,2024
Hassle free pick up and return. Good car in good condition. Reasonable price.,4,US,2023-12-26,Positive,hassle free pick return good car good condition reasonable price,26,December,2023
Easy pick up and go. Was upgraded at the pickup desk. Brand new Jeep. Great ride. Easy return too.,5,US,2024-01-01,Positive,easy pick go upgrade pickup desk brand new jeep great ride easy return,1,January,2024
- Good Car - Great Service - Smooth check-out/check-in process,5,PR,2024-01-05,Positive,good car great service smooth checkoutcheckin process,5,January,2024
"Everything was done perfectly service, customer service, My experience at FOX car rental, and the quality of the vehicle.",5,US,2023-12-28,Positive,everything do perfectly service customer service experience fox car rental quality vehicle,28,December,2023
great people looking for solutions.,4,US,2023-12-25,Positive,great people look solution,25,December,2023
"I was a bit skeptical about this company but I gave them a try and I wasn't for sure disappointed. I was so well treated by the staff Jared. He helped me the best way he could to give an easy experience in renting a car. I've got a promotion and he gave me a dogde Murano in a place of a compact SUV. So, I rented again and he upgraded from a Rav4 to a Cherokee because the first had bad tires. Everything was so quickly and easy. I'm just grateful I had this person to help me out. I think Jared deserves a raise. Overall,  great experience and I'll definitely renting from this company again.",5,PH,2023-12-30,Positive,bit skeptical company give try be not sure disappointed well treat staff jar help good way could give easy experience renting car I ve get promotion give dogde murano place compact suv rent upgrade rav cherokee first bad tire everything quickly easy I m grateful person help think jared deserves raise overall great experience ill definitely rent company,30,December,2023
"Good value. Shuttle service needs improvement. If you’re not fastidious of the things that don’t matter like their building, shuttle etc.. it’s really great",4,US,2023-12-21,Positive,good value shuttle service need improvement you re fastidious thing do not matter like build shuttle etc really great,21,December,2023
"The car was in great running condition with all the tech like android auto, ADAS etc. The pickup and dropoff were both quick and the staff was very helpful. This was the most important point for me as in other instances, i have waited for upto an hour while renting with other big brands. The car's interior could have been cleaner.",5,US,2024-01-04,Positive,car great running condition tech like android auto ada etc pickup dropoff quick staff helpful important point instance wait upto hour rent big brand car interior could cleaner,4,January,2024
"Simple and fast, high-quality service.",5,CA,2024-01-04,Positive,simple fast highquality service,4,January,2024
Smooth process from start to finish. Great customer service. No issues with definitely book through Fox again.,5,US,2023-12-22,Positive,smooth process start finish great customer service issue definitely book fox,22,December,2023
"Budget, but great! The car was quality, and the service was good. The setup is bare bones but gets you what you want.",5,Other,2024-01-04,Positive,budget great car quality service good setup bare bone get want,4,January,2024
"our 4-Runner was a great SUV BUT not clean.  I have and will continue to rent from Fox, keeping in mind my next experience will be a cleaner car! Thank you!",5,US,2024-01-03,Positive,runner great suv clean continue rent fox keeping mind next experience clean car thank,3,January,2024
"We were hesitant to go with a newer company we weren’t familiar with… But Fox is amazing! We’ve use them the last three times and not only is the price better, but every employee we’ve encountered has been delightful, the vehicles are fantastic, the process was quick, and it was a great experience all around! We also especially appreciated that the spouse was free as a second driver… No company should be charging for a second driver. It makes for a very long week when only one person can drive. Thank you!",5,US,2023-12-20,Positive,hesitant go new company be not familiar fox amazing we ve use last three time price well every employee we ve encounter delightful vehicle fantastic process quick great experience around also especially appreciate spouse free second driver company charge second driver make long week one person drive thank,20,December,2023
"This is a good local rental service. If you're staying within the state or just the surrounding state as specified, you can find some bargains and the staff is very helpful.",5,US,2023-12-22,Positive,good local rental service you re stay within state surround state specify find bargain staff helpful,22,December,2023
Quick and friendly process at both car check out and return! Transparent and helpful about toll and gas options.,5,US,2024-01-03,Positive,quick friendly process car check return transparent helpful toll gas option,3,January,2024
"The vehicle was the exact vehicle we requested.  The shuttle service was right on time for both ends of our trip.  Note that the shuttle starts running at 5:00 am, so for very early flights, this could cut it close.  Took about 5-7 minutes from airport to rental location.",5,US,2023-12-30,Positive,vehicle exact vehicle request shuttle service right time end trip note shuttle start run early flight could cut close take minutes airport rental location,30,December,2023
very easy the process of take in take off,5,US,2023-12-27,Positive,easy process take take,27,December,2023
"Nice people at pick up, good car, easy return.",4,US,2024-01-03,Positive,nice people pick good car easy return,3,January,2024
"No hassle check in, pickup of vehicle.   Dropping off vehicle was super easy too.",4,US,2024-01-02,Positive,hassle check pickup vehicle dropping vehicle super easy,2,January,2024
"The front office staff that helped me (a guy) was not very customer service oriented and was very blah - as was the other woman working.  This would not deter me from renting from Fox again!  When I finally got down to the garage to get my car, that guy was awesome and helpful!  He let me choose my car (mid-size sedan is what I booked, he was going to hook me up with a Camry but I asked for the Altima instead).  The car was clean, the tank was full.  He gave me paperwork and told me to hang on to it so I stuck it in glovebox.  I would rent from them again, they were the most reasonable out of all the agencies.",5,US,2023-12-18,Positive,front office staff help guy customer service orient blah woman work would deter rent fox finally get garage get car guy awesome helpful let choose car midsize sedan book go hook camry ask altima instead car clean tank full give paperwork tell hang stuck glovebox would rent reasonable agency,18,December,2023
Cheap but they hit you with fees you don't agree to. Make sure you know what you are signing for- even though you are doing that on a 2 inch by 3 inch square. Service was okay- the garage people didn't really want to break away from conversations they were having with other workers to help you. They tried to charge me late fee even though I turned the car in 2 hours early! Stay Away,1,US,2023-12-26,Negative,cheap hit fee do not agree make sure know sign even though inch inch square service okay garage people do not really want break away conversation worker help try charge late fee even though turn car hour early stay away,26,December,2023
"I enjoyed my experience renting from Fox, because I rented with other rental car companies that I’ve had terrible experiences with, but I give Fox and A+ rating the customer service and the car was great. It was just a great experience overall.",5,US,2024-01-02,Positive,enjoy experience rent fox rent rental car company I ve terrible experience give fox rating customer service car great great experience overall,2,January,2024
The people were super nice and informative.  The car was clean and ready.,5,DO,2023-12-22,Positive,people super nice informative car clean ready,22,December,2023
I had a very good experience with Fox Rental,5,US,2023-12-23,Positive,good experience fox rental,23,December,2023
"The woman who works in the mornings with long black hair was excellent. She was kind, professional, knowledgeable, and informed me well on the return process.I am sorry I don't remember your name but thank you.I arrived on 12/27 at 9:00 am. Lenway",4,US,2023-12-27,Positive,woman work morning long black hair excellent kind professional knowledgeable informed well return processi sorry do not remember name thank youi arrive lenway,27,December,2023
"Our first vehicle that was provided was horrible. Dirty and extremely worn inside. We were then given a jeep, Which was excellent. So I guess that's the reason for the mixed review",4,US,2023-12-21,Positive,first vehicle provide horrible dirty extremely wear inside give jeep excellent guess that s reason mixed review,21,December,2023
The young gentleman at the Front counter very helpful and pleasant to deal with,5,US,2024-01-01,Positive,young gentleman front counter helpful pleasant deal,1,January,2024
This company is very efficient with their service.  It offers great car for its cost.,4,Other,2024-01-01,Positive,company efficient service offer great car cost,1,January,2024
My car was a brand new Chrysler 300 with all of the bells and whistles. It drove so smoothly and I was completely satisfied with the car performance!,5,US,2023-12-26,Positive,car brand new chrysler bell whistle drive smoothly completely satisfied car performance,26,December,2023
Great service and great car selection.,5,US,2023-12-30,Positive,great service great car selection,30,December,2023
Staff for pickup and delivery was very professional. The original wait in line to get to a service representative was a little long. One hour plus might need management to look into some better staffing as they would have had a good idea how many people may be coming in at any particular time.,4,CA,2023-12-24,Positive,staff pickup delivery professional original wait line get service representative little long one hour plus might need management look well staffing would good idea many people may come particular time,24,December,2023
"We had a car booked elsewhere, my husband had a 2 hour wait in that line. I stopped in at Fox, as we’ve rented here before. With 2 young children in tow, that long wait would have been torturous. Thank goodness I asked! They had a super helpful young man at the counter that found me the vehicle I needed and had us on our way in no time! Great price, great experience!",5,US,2023-12-24,Positive,car book elsewhere husband hour wait line stop fox we ve rent young child tow long wait would torturous thank goodness ask super helpful young man counter find vehicle need we way time great price great experience,24,December,2023
"Car I ordered was available and in good, clean condition.",5,US,2023-12-22,Positive,car order available good clean condition,22,December,2023
Easy pickup process. The staff was very helpful and courteous.,5,US,2023-12-29,Positive,easy pickup process staff helpful courteous,29,December,2023
The entire process was easy from the front desk to pick and then drop off. Getting my final invoice emailed to me as well.,5,US,2023-12-27,Positive,entire process easy front desk pick drop get final invoice email well,27,December,2023
Very easy for rent . Great autos !!! professional staff.,5,US,2023-12-29,Positive,easy rent great auto professional staff,29,December,2023
"Employees were exceptional. System for reservation, pick up, and drop off were very well thought out irganized",5,US,2023-12-23,Positive,employee exceptional system reservation pick drop well thought irganize,23,December,2023
"They assign me a Volvo, but they upgrade me with better vehicle. Thank you",5,BB,2023-12-30,Positive,assign volvo upgrade well vehicle thank,30,December,2023
"Great fast and friendly customer service afterc11pm, made my travel experience easier as I was tired after traveling all day.  Thanks Luiz!!!",5,US,2023-12-27,Positive,great fast friendly customer service aftercpm make travel experience easier tired travel day thank luiz,27,December,2023
"Everyone working there is friendly, efficient, and professional.  I’ve never had such a good experience with a car rental, and I have been an Avis customer for over 30 years.",5,US,2024-01-01,Positive,everyone work friendly efficient professional I ve never good experience car rental avis customer year,1,January,2024
"A very professional , friendly, help team of members.",5,US,2023-12-27,Positive,professional friendly help team member,27,December,2023
"The whole experience from pick up at airport to drop off at airport was seemless. Shuttle was waiting for us both times, it was a quick ride to and from airport. No line at rental center.",5,US,2023-12-26,Positive,whole experience pick airport drop airport seemless shuttle wait we times quick ride airport line rental center,26,December,2023
"On a scale from 1-10 my score would be about a 7+. The biggest problem I had with Fox Rent-A-Car Oakland airport was that it took over an hour to get my car in a line of two people ahead of me. This was in the middle of the week, mid morning with two counter agents working when the rental car center wasn’t busy. I don’t know what was going on with a couple of people at the counters that were having some obvious rental issues with documentations or what have you but an hour in line was just unacceptable especially for myself and one other customer who I was speaking with that had Prepaid reservations. Once I got my car, I was totally satisfied with the vehicle. Everything was OK but still one hour in line was just unacceptable with no explanation or apology give. The rate that I paid for my car was great and the vehicle was great. At one point in time, I was almost ready to go to another car rental agency that had no wait time, moving people from the counter to their cars in around 10 minutes or less. My suggestion to Fox at Oakland Airport Rent-A-Car Center is to have an express lane for people with reservations so they won’t have to endure an hour long wait when there’s only two people in line.",3,US,2023-12-19,Neutral,scale score would big problem fox rentacar oakland airport take hour get car line two people ahead middle week mid morning two counter agent work rental car center be not busy do not know go couple people counter obvious rental issue documentation hour line unacceptable especially one customer speak prepay reservation get car totally satisfied vehicle everything ok still one hour line unacceptable explanation apology give rate pay car great vehicle great one point time almost ready go another car rental agency wait time move people counter car around minute less suggestion fox oakland airport rentacar center express lane people reservation will not endure hour long wait there s two people line,19,December,2023
I had a great experience with Fox Rental Car.The employees were very helpful.No issue returning the vehicle. Vehicle was very clean. good vehicle 2023 Nissan Rouge fantastic,5,IT,2023-12-22,Positive,great experience fox rental carthe employee helpfulno issue return vehicle vehicle clean good vehicle nissan rouge fantastic,22,December,2023
Beyond the line at checkout it was a great experience,5,US,2023-12-23,Positive,beyond line checkout great experience,23,December,2023
Quick pickup at tampa airport  on Christmas eve. Other places had lines.,5,Other,2023-12-23,Positive,quick pickup tampa airport christmas eve place line,23,December,2023
"Honestly, if it weren’t for Aaron and Maggie we wouldn’t have been able to drive out to our family for New Years. Thank you for making it a great experience and genuinely being kind enough to help us through the whole process. Aaron and Maggie need to be honored for their good work ethic and exceptional customer service. Thank you so much, I will definitely be coming back because of them!",5,US,2023-12-30,Positive,honestly be not aaron maggie would not able drive family new year thank make great experience genuinely kind enough help we whole process aaron maggie need honor good work ethic exceptional customer service thank much definitely come back,30,December,2023
"I know the holidays are a crazy time for all travel related companies and did I sense that with Fox.  The crowded shuttle and lines of people minutes before closing.  But I was assisted quickly and with a smile.  I was offered an upgrade to an Audi for an additional price, it was almost double of what I had booked but thought, why not it's Xmas.  The representative who helped me was almost more excited than I was.  The car was a dream!  Made my LA experience a true LA Experience!  Thanks Fox!  I shall return again for sure!!",5,US,2023-12-21,Positive,know holiday crazy time travel relate company sense fox crowd shuttle line people minute close assist quickly smile offer upgrade audi additional price almost double book thought xmas representative help almost excited car dream make la experience true la experience thank fox shall return sure,21,December,2023
"The front counter clerk only saw my daughter and myself and assumed that small SUV would accommodate us. Which itself was an upgrade but the trunk space was too small for the three large pieces of luggage that we had plus a family of 5. I went back to tell the young lady at the key counter this and she upgraded us again to a larger SUV that could accommodate my family and our luggage. She even provided me with lotion cause my hands were extra ashy. Upon inspecting my rental, I remembered that I left my backpack in the other rental car and had to go back to the counter. Of course, she unlocked it.  I never did get her name, but she deserves a shoutout for her exceptional customer service.",5,US,2023-12-20,Positive,front counter clerk see daughter assume small suv would accommodate we upgrade trunk space small three large piece luggage plus family go back tell young lady key counter upgrade we large suv could accommodate family luggage even provide lotion cause hand extra ashy upon inspect rental remember leave backpack rental car go back counter course unlock never get name deserve shoutout exceptional customer service,20,December,2023
"FOX has better price, the rental experience was easy and fast, employees were professional and nice.",5,US,2023-12-17,Positive,fox well price rental experience easy fast employee professional nice,17,December,2023
Smooth pickup and return. Initially no agent on duty at the desk.,4,US,2023-12-24,Positive,smooth pickup return initially agent duty desk,24,December,2023
The experience was so easy from the beginning interaction with the professional at the counter to the staff in the pickup and return area.  Zero complaints.  Best rental experience I have ever had.,5,GB,2023-12-26,Positive,experience easy begin interaction professional counter staff pickup return area zero complaint good rental experience ever,26,December,2023
Great customer service and good car overall !,5,US,2023-12-23,Positive,great customer service good car overall,23,December,2023
