Review,Rating,Location,Date of Experience
We rented a car from Fox car rental online about 3 months in advance. We get to Miami. The Fox line had about 40 people in it. We finally get to the front. The didn’t have cars. They wanted to charge us an extra $250 and bring in a car from another location. We took a taxi back to the airport and rented a car from Avis. We saved a lot of money. Fox is a hassle. There low prices are too good to be true! Stay away! Use a reputable car rental company!,1,US,"April 02, 2024"
"I rented a car 2 days before my trip. I had never rented from Fox before. Everything went really well. The shuttle came as soon as we walked out of baggage claim. The woman driving the shuttle was kind, upbeat and so helpful-great personality! No wait to speak of at Fox. David, the manager was terrific and within minutes we were on our way. Will absolutely use them again. Best of all the were incredibly reasonable!",5,EC,"January 18, 2025"
These people are thieves and booking.com is with them and will not guarantee any customer defense. I paid $309 in booking.com for the car rented and insurance of $50 . It was a huge disappointment as well because they lead me to the FOX- EUROPCar stealers that charge me $96.13 for tolls and bridges services that I didn’t use because I was hosted in Pompano beach and it was just one day that I travel to Sawgrass Mills and to El Doral . These is a horrible business and their customer service are low people that would be over flattering to trap you . ,1,US,"November 30, 2024"
"Horrible experienceRented a car in San Diego, should of read the reviews would have changed my mind. The hidden fees are there, they will get a 50$ fee wether they call it a late or extension fee. Beware, rent some where else. Enterprise way better. Never again, no help from customer services. Outsourced!!!! ",1,CA,"January 15, 2025"
"Horrible experience in LAX  Ca.!Horrible experience in LAX ,LA Ca.!! Fake pleasant LADY said they did Not have car i contracted to rent through Expedia. “Only had” LUX  CAR, for  $180 dollars more.  Legally, they need to provide similar car, for same price.I didn’t see final bill, until weeks later. They charged me $500 extra plus additional fees!!! My Expedia receipt said my payment included all taxes and fees.",1,US,"December 22, 2024"
"The employee working at the Salt Lake City Fox Rent a Car counter directly lied to me. The whole Fox rental procedure is systemically designed to defraud renters. Here was my experience, which I observed replicated for the customers before and after me. First, they imply that renters must get a Loss Damage Waiver. This is not necessary, but Fox calls one level the ""minimum"" level, when in fact a LDW is not required. When asked about it, the employee suggested that I had to have proof that my insurance would cover rental car damage. When I pushed on this, she admitted the proof she had just asked for was not required. Next, she tried to email the contract to ensure that the I did not see that the LDW and roadside assistance had been added.I asked for a printed copy and saw that these fees were there. I asked her to remove the LDW and she told me it had been removed. I then did the vehicle inspection and returned the form to her. In fact, she had not removed the LDW. Had I then asked for a new printout of the contract, I would have seen this, but I stupidly trusted that it had been removed. After checking in the car, on my way to the airport, I found out that I had been charged an additional $380 in fees I had specifically, explicitly declined and had been told had been removed.Moral of the story -- don't drive away until you have a printed contract in your hand showing that no additional fees are being charged.",1,US,"December 26, 2024"
Was defrauded by the fox in LAX. Got charged $700 in undisclosed ‘service fees’ for a $200 rental. Learn from my mistakes and get your rental car elsewhere,1,LC,"December 26, 2024"
"Mask mandates? Seriously, Not happening. You will receive an email that masks are required for pickup an drop off. People will not learn until we all stick together and say no more nonsense. Canceled my reservation, back to Avis I go. ",1,US,"December 21, 2024"
"DO NOT USE THIS COMPANY!! This was the WORST rental experience I have ever had or imagined. We reserved and paid for a full size SUV (7-9 seat) to Caravan to Florida from Georgia (we live locally) specifically to fit 7 people to a wedding.  Not only did they say they didn't have any more full sizes, they refuse to compensate for our reservation in any way. I was at one point hung up by their billing department saying they will have a supervisor call me (never did). We had to take 2 cars to get all of us there (which of course defeated the whole purpose). I am most frustrated that we kept being put off to reach out after returning for compensation only to be told there was no solution. I assume this was so we didn't return the vehicle right away. The lack of accountability and professionalism (even without a refund) is unbelievable. I will be reporting them to the BBB since we have lost out on near $400 (not including the second car we had to take). I blame myself for not checking their ratings before booking. ",1,US,"December 12, 2024"
"We rented a vehicle at Fox in Las Vegas. The price quoted was $224. We fillled it full with gas prior to bring ing back. Dropped it off with Fox employee. He provided paper to us. The next day I reviewed all my credit charges online with my Visa company and saw where Fox charged $330! I called and a person named Michael stated the charge was for not bringing the car back full and they had to put 11 gallons back into it.  What? It was full.  He said that if I wanted to question it, that I would need to send screenshots of my credit card bill. So I did this; still no response after two weeks. So I called again and spoke to another employee and they gave me another email to use. I sent same info to him and still no response. Now it has been 22 days and no email response. I am very disappointed in how they can add fake charges. The tank was full! Make sure if you rent from Fox that you take pictures of your full tank, make sure the employee starts the car and sees that it is a full tank; get that employee's name, and hope they don't gouge you. ",1,N/A,"November 19, 2024"
I reserved a car from fox using rentcar.com but they charge to my credit card additional payments besides that the reservations says that I didn't need to pay anything more. Currently i am disputing the additional charges but I think I will not recover the money back. ,2,US,"December 03, 2024"
"On 10/30/24, during the car rental process at Fox Rent A car. I was pressured into signing a car rental agreement in a small tablet with just the signature/initial box without letting me see what I am signing.  All I saw was the blank signature/initial box that Christina at Fox Rent A Car Las Vegas asked me to sign and initial.  I don't even know I am signed up for all the rental car add-on of $379.42.  After I signed the agreement form, Christina gave me the agreement form of $521.75.  I asked “What is this $521.75 is for?  Since I already paid for the total car rental cost of $142.33 to Fox Rent A Car on my credit card on 10/28/24” Christina told me “It is a temporary credit card hold, and I won't be seeing this $521.75 hold after I returned the rental car”.  After I returned my rental car, I received a receipt of 521.75, in which $379.42 is the rental car add-on that I have no knowledge about that was charged to my credit card.  After checking my credit card account, those charges are real charge and are not temporary credit card hold like Christina said.  This transaction process is a scam and a very bad business practice, which is totally unacceptable.  In addition, I am being charged 6 times on airport shuttle fees when I only used the shuttle two times, to and from the airport. The pressure tactics, the lies, and doesn't let customers see what they are signing into lure customers on purchases of all the rental car add-on are unacceptable. I won't be going back to Fox Rent A Car ever again. Based on thousands of reviews on the internet complaining the same things on bad business practices and tactics that Fox Rent A Car used, it is recommended not go to with this rental car company.",1,US,"October 30, 2024"
Not enough agents at Fort Lauderdale. Waited over an hour in line to pick up my car. Only 3 agents and at lest 20 customers. No other agencies had anything near as long of a wait. ,1,GB,"November 25, 2024"
"If only I could give 0 starsI won't explain the whole situation, but essentially we needed our car changing during a trip as the tires kept loosing pressure. We reported the problem, they suggestion was to take it to a garage the next day, problem, it was the 4th July the following day and we had reservations at Mt Rainer. We were currently in forks, no way would anything be open. But, they assured us it would. Surprise, surprise the next day, nothing was open. So we had to wait over 8 hours for them to bring us a new car from Seattle to Forks.I have been having an exchange of emails with them recently, finally agreeing to a refund of half the amount. Which originally started as them saying they would only go as far as a mere 25% - This is still going on, even though they have a agreed, I have had 0 response since this. Appalling customer service, this matter could have been dealt with if they actually listen to customers, rather than following a script. We're not even American, even we knew the 4th July was a pretty big deal.....",1,US,"July 03, 2024"
"Fox Rent-A-Car is an absolute disaster, and I would give ZERO STARS if I could. Not only did they fail to provide the service I paid for, but they also lied to my credit card company to avoid refunding $571.12. This company is a SCAM, and their shady practices are nothing short of theft.I booked an 11-day car rental on May 4, 2024, for $571.12, to visit my blind, widowed, 75-year-old auntie with stage 4 cancer. When her health emergency forced me to change my travel dates, Fox Rent-A-Car refused to apply my credit—on THREE separate occasions: June 3rd, June 9th, and July 17th.As a Lahaina wildfire survivor, I was adjusting to traffic disruptions from debris removal and road repairs. I pride myself on punctuality, yet on July 16th, I missed my flight for the first time in 50+ years due to road closures caused by wildfire debris removal, boulders, and guardrail repairs. I called Fox immediately to inform them I’d be 24 hours late and asked them to hold my reservation. Instead of helping, they forced me to cancel and charged $26 to rebook. After 36 minutes of waiting and multiple holds, they claimed ""computer problems"" prevented them from rebooking and told me to try online. I spent hours trying, but it didn’t work.When I arrived at their rental location, they claimed I had no reservation, they were out of cars, and they refused to honor my credit with their sister company. They attempted to charge me over $750 for fewer days than I originally booked—$250 MORE than I already paid—and told me I’d need to return the next day to pick up a car. My destination was 40 minutes away without traffic, leaving me stranded.When I asked for a supervisor, I was pressured to accept the inflated price. After I refused, they hung up on me again. Later that night, I saw the price had increased to $978.80, nearly double my original reservation cost.The worst part? Fox Rent-A-Car lied to my credit card company (Hawaiian Airlines Bank of Hawaii World Elite Mastercard). They falsely claimed they refunded $500 of my $571.12 on May 4th, 2024. This was a LIE—the $500 was a deposit charge unrelated to the $571.12 rental fee. Despite showing my Barclay statement proving this, my credit card company sided with Fox Rent-A-Car, claiming my dispute was only for $71.12 because ""services were rendered.""Fox Rent-A-Car repeatedly promised I could use my credit, but they failed every single time. The final blow? Being abandoned at the airport during a family emergency without a car and with no help from their so-called customer service, which was rude, incompetent, and repeatedly hung up on me.This company’s behavior is beyond unacceptable. They’ve kept over $500 of my money for MONTHS without providing any service. This is corporate greed at its worst—Fox Rent-A-Car feels entitled to keep my money while lying about refunds and failing to deliver the promised service.Let’s not forget that Fox Rent-A-Car is now owned by Europcar Mobility Group, one of Europe’s largest car rental companies. If this is how Europcar operates in the U.S., customers should beware on both continents! It seems Europcar has brought its corporate greed and deceptive practices to the U.S., leaving customers stranded and out hundreds of dollars.If you value your time, money, and sanity, STAY FAR AWAY from Fox Rent-A-Car and Europcar Mobility Group. They are a SCAM, and their predatory behavior should not be tolerated.",1,GB,"July 16, 2024"
"Easily the worst car rental experience O have ever had. 1 hour line at San Diego Airport - surly/unhelpful staff, did not have car that I booked, tried to add all sorts of additional fees. NEVER EVER EVER use this company —- go with someone reputable!!!!",1,US,"November 15, 2024"
"I recently rented a car from Fox at LAX, and I must say, it was an outstanding experience from start to finish. The booking process was seamless and easy, with a user-friendly website that made selecting the perfect vehicle a breeze.When I arrived to pick up the car, the shuttle bus operators and staff were incredibly friendly and professional, offering helpful advice and making sure I had all the information I needed. The car itself was in pristine condition—clean, well-maintained, and ready to go. It was a pleasure to drive, and I appreciated the convenience of picking up and returning the vehicle with minimal hassle.The entire rental experience was efficient, and the pricing was transparent with no hidden fees, which I really appreciated. I also liked that they offered flexible rental terms, which suited my travel plans perfectly.Overall, I highly recommend Fox for anyone in need of a reliable and affordable car rental. Excellent service, great selection of vehicles, and a stress-free process. I will definitely be using them again next time I'm in town!",5,US,"November 07, 2024"
"Lied to and cheated.  Booked my rental car and paid for insurance through Expedia.  Upon arrival at Fox I was told Expedia insurance was not accepted, so I purchased Fox insurance.   Followed up with Expedia, and I was lied to... Fox does accept Expedia's insurance.  Attempts to be reimbursed for the insurance were a hassle, but eventually denied by Fox.  Also, they charge a 450% administrative fee on road tolls.  ",1,GB,"October 11, 2024"
"Rented via AutoEurope.  The rental agreement was with Europcar but they outsourced to Fox Rent a Car.  We were collected by the Fox bus and taken to the off-site rental location.  The agent tried to scam / defraud me into taking their Toll package even though I explained I had my own Toll Transponder and account with SunPass.  He lied and said the plates were locked and that I would not be able to used the transponder on their vehicles.  I challenged him and he got irritated and said I would be charged around $15 dollars for every toll use.  I didn't believe him and declined their Toll package.  The car was a mess.  Scratches both on the outside and on the inside plastic.  The seats were stained and the parcel shelf was missing, making shopping a challenge as all of our purchases were on display to any thief.  The car wobbled due to badly balanced wheels and the Oil service was overdue.  Would not ever rent from them again and will be aware that Europcar do not have their own presence at Orlando MCO.  Worst car I have ever rented and I rent a lot of cars.",1,US,"October 19, 2024"
"I firmly believe I was intentionally DECEIVED by the agent at Denver Fox car rental. The agent told me that I would be passing through tolls and a pass was a requirement. Not that the tolls were actually optional express lanes. He talked about how expensive it would be if I chose to pay the tolls myself vs. getting a pass. Never haven driven in the state before, I was expecting toll booths like they have in the northeast where you really are required to pay to drive on the road. This was most definitely a deception. Additionally, I did NOT need the extra insurance and told the agent that. I told him that my insurance policy covered me when driving rentals and he responded ""okay.""At the end, when I asked why the numbers were so HIGH on the paperwork, he LITERALLY told me to IGNORE them because that was just the deposit, which would be returned to me after I returned the vehicle, and not to worry because I already pre-paid through Expedia. He definitely gave me the impression the ONLY additional charges would be for the pass (which I ultimately did not need) and gas if returned at half a tank (I returned it with a full tank). Yes, I should have read every single word of the paperwork and asked more questions. However, I have rented from multiple other car agencies -- Hertz, Enterprise, Budget, Dollar and Thrifty -- without ever occurring a single extra charge and didn't realize that I needed to guard myself against an unscrupulous rental agent. Stupidly, I believed his lies vs. reading the fine print. I believe that the Fox agent knew that I was tired after traveling for many hours, wasn't familiar with the roads or requirements in Colorado, and PREYED upon the fact that I was a single, older female traveling alone. The rental agent and his employer should be ashamed. ",1,CA,"October 30, 2024"
"The rental went fine enough, but the car was damaged in a parking lot by a third party.  Their insurance covered the damage, so all seems well, but Fox wasn't satisfied that the insurer wouldn't pay all their junk fees - and decided to hassle me about it instead.Just stay away.",1,CA,"March 22, 2024"
Waited almost 3 jours in Line. Super slow service. Never rent there. ,1,SE,"November 02, 2024"
"This company is an absolute scam, they will charge you so much more once you 're picking up the car - it's suppose to be cheap, it's not. Staff is super rude and talk to you like you're an idiot and laugh at you - they also lied right to my face to sell their own insurance. The vehicles were completely dirty, no washing liquid for the windows, poor quailty for the car overall and the the oil lamp was going off, I had to call in and they said the lamp was broken. ",1,US,"September 30, 2024"
The rented car was not available and they gave me another car but only after an increment of over 50 USD for the rentalWhen I called to costumer center they told me to go back to the rental office and get a new car!!I had to extend the lease fro one day. In the agreement I got a price of 40 USD for the extension when I called they added 20 USD penalty that was never indicated in the contract only in the small letters of the general agreement text,1,GB,"October 19, 2024"
"I recently had a fantastic experience with Fox Rental Car. From the moment I arrived, the staff was friendly and efficient, making the check-in process quick and hassle-free. The vehicle I rented was not clean and not well-maintained, but surve the purpose. The car was new. What impressed me the most was the transparent pricing—there were no hidden fees, which is often a concern with rental companies. Additionally, their return process was seamless, allowing me to drop off the car without any delays.Overall, I highly recommend  for anyone in need of a rental car. Their excellent customer service, great vehicle selection, and straightforward pricing made my trip all the more enjoyable!and returned my deposit instantly. ",5,US,"October 22, 2024"
"We reserved a car a Fox Rental Orlando. I called while we were waiting at the luggage carousel, to let them know we had arrived and that we would be cutting it close to our designated pick-up time. The girl reassured me there was no problem and the shuttle would be picking us up in a few minutes. After waiting at B11 for 30 minutes no shuttle had arrived, so I call again to be sure we're in the correct spot. She again reassures me it'll only be a few minutes. After nearly an hour of waiting for ""a few minutes"" I call again. We are tired from our long flight and waiting this long with 2 kids was a test in patience. As she is saying ""just a few more minutes the shuttle"" pulls up. Another guest was more upset than we were. The driver mumbled that he was here already. But he must have been invisible because the 4 in our party and the other man waiting never saw a shuttle. It was very frustrating. We won't rent from Fox again.",1,US,"October 15, 2024"
"In August 2024, I rented a car at the Orlando Airport Location. A grandmother and mother traveling with a young child was given a car that was filthy, dangerous and when I brought the car to a tire place, they reported to Fox Corporate that 3 out of the 4 tires were not safe to drive on and would not repair just one tire that was blown out. I was offered no assistance at fox, apologies or care for the welfare of my young child that thankfully was not in the car when the incident happened with the tire. I would NEVER consider Fox if you have a young family, older adults or anyone you care about because they don’t care. ",1,US,"August 14, 2024"
Bait and Switch between Fox rent a car and Europcar. If you want to experience a good vacation in Mexico City avoid using these companies and having them ruin your vacation.I strongly recommend you to search for the reviews on these car rental companies.,1,NG,"October 22, 2024"
"okay thank you, for this opportunity, mu name is Uche, I have 2 years' experience in a car fox road said mechanical shop, ",5,IT,"November 13, 2023"
"I had a fantastic experience renting a car through Fox in LA Los Angeles (via Europcar). Everything went smoothly from start to finish. The car was great—brand new with only 900 miles on it and in perfect condition. Driving it was a pleasure.  We had the car for more than two weeks and did about 4,000 miles without any issues.The manager was incredibly helpful and took the time to explain everything clearly, ensuring I understood all the details of the rental. On top of that, they gave priority service to Europcar customers, which made the whole process even faster and more convenient.I highly recommend renting through Fox and Europcar. Great service, helpful staff, and an overall hassle-free experience!",5,N/A,"September 19, 2024"
"I rented a Toyota Corolla from Fox at Chicago O'Hare.  The handling characteristics of the car did not seem quite right and it was very uncomfortable at speeds over 60mph.  When I arrived at my destination in Madison, WI, I looked at the tire treads and they appeared to be in poor condition.  The next morning, the low tire pressure caution light was on.  I purchased a tire pressure gauge and was shocked that 3 of the tires exceeded the limit of the tire pressure gauge (55 psi).  the 4th tire pressure was 24 psi.  The limit on the tire pressures was 35 for the front and 33 for the rear.  I called the Fox roadside assistance line,  was on hold for quite awhile and left a call back number.  Fox did not contact me, despite their automated voice indicating that they would.  There was no way that I could drive this car on freeways back to Chicago, so I called Fox roadside assistance the following morning and was able to reach a helpful agent.  He directed me to Discount Tire in Madison, WI.  The technician at Discount Tire stated ""looks like they were trying to kill you.""  The tires were ""shot"" from massive overinflation.  Fox agreed to have all 4 tires replaced.  Unfortunately, I missed the majority of scheduled events on my trip, as I had had a dangerous car, and spent my time performing Fox Car Rental's job for them.  The response of Fox has been completely unsatisfactory.  This is a dirt bag organization that does not perform the most basic maintenance on their vehicles and has no regard for the safety of their customers.",1,US,"July 17, 2024"
"Fox Rental Car charges for shuttles from the airport to their location and it takes about 30 minutes for the ride. They provide dirty vehicles and charge a fraudulent fees/charge, which are noted in their invoice as “UPSALE”. Their customer service is in the Philippines and they are not helpful, do not send the promised documents.Upon returning the car, Fox Car Rental representative was not willing to come and check the vehicle despite standing in 12 feet from the car and did not provide me with the folio – explanation of charges. On the following day they charged my card $180 for cleaning fees and they said that I was smoking in the car, which is not true since we are nonsmokers. The Merchant also made a separate false charge of $54.86 on the same day saying that I did not return the car with a full tank of gas. Overall, with the fraudulent charges this company has the highest rental prices. ",1,CH,"June 24, 2024"
"The sales lady at Seattle, I think it was Catherine, was extremely pushy and aggressive. She actually bullied us into buying daily ""PLATEPASS INCLUSIVE"", telling us that there are tolls every few miles in Oregan and California and that they can be as expensive as $22 a time!!  This is just not true!  I think we went through 3 tolls during our 3,300 km road trip through Washington, Oregan and California and the charge was around $3 a time.  This is simply a scam for Fox sales people to earn extra commission and for Fox to pocket more money.Its a shame, because apart from this the experience could have been good.",2,US,"October 03, 2024"
"I rented from Fox Rent A Car in Austin.  When the agent asked which coverage, I said basic.  He applied the full charges and when I was signing the agreement the screen was so small I could not read the agreement.  I never received a paper or printed agreement either or I would have checked. I contacted customer service and they refused to refund. ",1,GB,"September 18, 2024"
"I'm a UK resident and tried to book a car with this outfit in Los Angeles. Yeah, great unbeatable prices but just one problem.....when you get directed to their""payment information"" their site won't accept a UK postcode which means they won't accept your card payment which means you don't get to rent with them!!  Thought it was an error so emailed them, been over 2 weeks and they still can't be bothered to reply. They obviously don't need my custom, avoid like really avoid. ",1,US,"October 03, 2024"
"Terrible.Never again!After 26 hours traveling, waiting 1 hour while serving one agent one guest, they forcing you to add an extra insurance for at least $700.Insurance is not required non of the rental car agency.Worst experience ever.NOT RECOMMENDED!",1,US,"September 18, 2024"
"Jennifer was simply amazing. She saw that I was not having a good morning and she took time to talk to me, gave me water and candy because I was forced to sleep in the airport over night and had not eaten. She spoke positivity and wisdom to me and she really turned my day around which helped me leave with a positive attitude and new perspective on life. Angels are here on earth and she is one of them.",5,US,"September 26, 2024"
"The positive - The 2 shuttles going to Fox were okay. The service rep behind the counter was good although we didn't need to hear he spends his day in the casino. We were upgraded because our rental was not available. The Negative - We had to wait 15-20 minutes when next in line because all the reps were outside showing renters to their vehicle? Obviously need more staff or a better process.I was told to just take the car under the streetlight to check for damage, it was not bright. The vehicle was dirty on the outside not washed,, Inside was clean except for the odor of cigarettes. Returning the vehicle the rep outside didnt even look at it and just said okay its good. I video taped for my protection the condition of the car.Both bathrooms were out of order! Why not get a port o let or plumber right away?The trip back to the airport drop , the driver did not assist with any baggage, did not greet anyone, and didn't inform to lay down luggage as it all rolled around while traveling, this cause passengers to get up to retrieve their bags while vehicle was moving.",2,GB,"September 28, 2024"
"For international travellers.  Please be careful, the staff at the Fox locations might be helpful, but if anything goes wrong with fees and charges, they’ll wipe their hands of the whole issue and send you to billing.Racking up so much additional cost calling from abroad as they don't respond to emails. Europcar aren’t great at the best of times but the American standard of accountability, access and customer protection, might not be what you're used to.",1,US,"August 27, 2024"
"My son and I were on the same web site across the country from each other, and didn't see the same things. I went ahead and reserved a small car and planed on getting upgraded when I got the SeaTac. I told them what happened and they did upgrade me, for a price of course.  I am 75 and 5'3.  They put me in a Toyota 4 Runner.  I could hardly get in.  I should have gone back to the counter and gotten a different car but I was too tired.  Otherwise I was satisfied, but it was a little pricey for me.",4,US,"September 17, 2024"
Do not ever go to this company I paid $466 I never got a car and I had to go to another company to rent a car they stole my money,1,US,"August 02, 2024"
When we arrived to pick up rental car the agent I spoke with was all about business.  He got me in and out in about 3-4 min. He did try to up sell the $12 a day toll payment. But did not persist. I was on my way to my rental car before the 2 groups who were being helped before me. Now the bad part.... we had to return our rental the next day because there was a strong order in the car. They replaced that rental with a new rental car and upgraded us. And that process was just as quick as when we 1st picked up rental. It sucked to drive back to rental car company but they made it painless. So I would recommend Fox. Now this is an FYI... Orlando/MCO rental office does close (not sure of closer time). They don't open till 5am. So if you have an early flight you may have issues getting to flight on time. So my final thoughts is the price for the rental was great and they made the process quick and easy. I was gonna take a star for rental return but they made up for it by getting us in and out with an upgrade. ,5,US,"September 05, 2024"
"I will NEVER rent from them again. (1) The checkin/car pick up experience was awful and took over an hour (they don’t offer pre-checkin so you can go straight to your car); (2) customers (not their staff) are responsible for marking on a drawing all possible damage they see on the car before they leave with the vehicle; (3) they use bait and switch pricing and say unlimited miles but when I checked in there was a restriction on distance and only driving in the pickup state and the state to the left and right, and if you breached that, there would be a crazy penalty fee charged (I believe $1,000) and they use gps to track where the car goes; (4) I had to extend my stay twice for a family issue and it was really hard to reach anyone in customer service to do that; and (5) when extending, they charge you the normal daily/weekly rental rate + a penalty for extension + a per day extension fee on top of the normal rate. I’ve shared the experience with a few friends and they each had similar experiences and none of us will ever use them again.",1,GB,"September 14, 2024"
"I was charged for an extra day rental, while the car was returned a couple of hours before the rental agreement finish. Support is very slow and takes weeks to respond. ",1,NL,"August 16, 2024"
We picked up our car at Salt Lake City. Getting the car was a bit slow but the overall experience was good. We got a bigger car than we asked for and it was a bit dirty but we enjoyed the 3 weeks. The drop off was smooth and the shuttle bus to and from the airport was fast and easy too,5,CA,"August 23, 2024"
"In  Denver We booked a SUV and they said we could only have a Mitsubishi  Mirage ,we then got told the only option was to pay tolls was to pre pay  because driving to Deadwood we would be charged everyday anothe Lie ",1,US,"September 06, 2024"
"NEVER NEVER use this car rental. for an hour later return, they charged one day rental and $25 later fee",1,US,"September 08, 2024"
"Aside from completely failing to deliver on every part of the car I rented, they fraudulently charged my credit card for insurance that I explicitly refused, my card rejected the charge as the fraud it was, now they're made up this moronic story that I was double refunded & owe them the exact amount they tried to defraud me. TOTAL TRASH",1,US,"May 25, 2024"
I have never rented a car and the agent asked if I wanted just the liability insurance. The agent did not let me know I could decline that. When I got my bill I had a $132 fee for insurance. I disputed and they are not willing to remove or reduce the fee. Also the car had a leak and I had to fill it up with air everyday I had the car. They were not willing to reimburse any fees for the hassle,1,US,"August 21, 2024"
"Maybe it’s just the Fox at the airport in Austin, but do yourself a favor. Avoid them, they are so underhanded and dishonest. ",1,N/A,"August 13, 2024"
